# file lines
src/rt/assert.c 34
src/rt/atomic.c 173
src/rt/backtrace.c 26
src/rt/call.c 45
src/rt/cast.c 30
src/rt/check.c 43
src/rt/conf.c 765
src/rt/cpu.c 321
src/rt/digest.c 154
src/rt/errno.c 65
src/rt/f16.c 14
src/rt/fs.c 365
src/rt/hooks.c 194
src/rt/init.c 15
src/rt/io.c 18
src/rt/json.c 283
src/rt/license.c 46
src/rt/license_stub.c 25
src/rt/loaded.c 114
src/rt/mem.c 56
src/rt/object.c 724
src/rt/platform.c 17
src/rt/plugin.c 782
src/rt/reflect.c 248
src/rt/registry.c 754
src/rt/signal.c 146
src/rt/start.c 232
src/rt/symbols.c 1110
src/rt/sync.c 350
src/rt/text.c 760
src/rt/threads.c 472
src/rt/time.c 74
src/rt/toml.c 517
src/rt/trace.c 896
src/rt/utf.c 198
src/rt/atomic.h 20
src/rt/conf.h 66
src/rt/cpu_level.h 61
src/rt/digest.h 27
src/rt/f16.h 94
src/rt/hooks.h 42
src/rt/json.h 57
src/rt/object.h 296
src/rt/plugin.h 157
src/rt/reflect.h 102
src/rt/registry.h 57
src/rt/rt.h 16
src/rt/signal.h 19
src/rt/std.h 156
src/rt/symbols.h 90
src/rt/toml.h 45
src/rt/trace.h 52
src/rt/utf.h 22
src/antic/antl.c 2733
src/antic/applesdk.c 46
src/antic/arena.c 60
src/antic/arith.c 138
src/antic/arm64.c 2680
src/antic/ast_dump.c 960
src/antic/coff.c 937
src/antic/cpu.c 96
src/antic/debug.c 412
src/antic/diagnostic.c 67
src/antic/driver.c 2597
src/antic/emit.c 393
src/antic/expand.c 569
src/antic/header.c 1178
src/antic/ir.c 983
src/antic/ir_print.c 516
src/antic/ir_verify.c 566
src/antic/layout.c 869
src/antic/lexer.c 1591
src/antic/linker.c 638
src/antic/lower.c 9026
src/antic/mach.c 158
src/antic/main.c 452
src/antic/modpath.c 113
src/antic/notice.c 69
src/antic/optimize.c 1641
src/antic/parser.c 2975
src/antic/process.c 335
src/antic/regalloc.c 942
src/antic/select.c 585
src/antic/selfpath.c 225
src/antic/sema.c 11491
src/antic/sha256.c 147
src/antic/target.c 165
src/antic/text.c 80
src/antic/types.c 1208
src/antic/userdirs.c 191
src/antic/whole.c 2234
src/antic/x86_64.c 3005
src/antic/antl.h 47
src/antic/applesdk.h 21
src/antic/arena.h 19
src/antic/arith.h 21
src/antic/ast.h 801
src/antic/coff.h 24
src/antic/cpu.h 61
src/antic/debug.h 81
src/antic/diagnostic.h 50
src/antic/driver.h 177
src/antic/emit.h 51
src/antic/expand.h 35
src/antic/header.h 23
src/antic/ir.h 638
src/antic/layout.h 87
src/antic/lexer.h 154
src/antic/linker.h 141
src/antic/lower.h 39
src/antic/mach.h 159
src/antic/modpath.h 43
src/antic/notice.h 21
src/antic/optimize.h 26
src/antic/parser.h 19
src/antic/process.h 22
src/antic/regalloc.h 30
src/antic/select.h 240
src/antic/selfpath.h 26
src/antic/sema.h 199
src/antic/sha256.h 28
src/antic/target.h 104
src/antic/text.h 24
src/antic/types.h 532
src/antic/userdirs.h 49
src/antic/whole.h 65
src/anti/bind.c 258
src/anti/bindapi.c 515
src/anti/bindclang.c 1423
src/anti/bindexpr.c 597
src/anti/bindtype.c 608
src/anti/bindwrite.c 722
src/anti/build.c 1160
src/anti/check.c 652
src/anti/deps.c 974
src/anti/doc.c 1308
src/anti/files.c 306
src/anti/fmt.c 1329
src/anti/jsontree.c 308
src/anti/main.c 636
src/anti/manifest.c 464
src/anti/repo.c 335
src/anti/sdk.c 288
src/anti/symmap.c 258
src/anti/syms.c 1177
src/anti/test.c 548
src/anti/units.c 184
src/anti/zip.c 603
src/anti/bind.h 35
src/anti/bindexpr.h 45
src/anti/bindmodel.h 213
src/anti/build.h 37
src/anti/check.h 22
src/anti/deps.h 65
src/anti/doc.h 23
src/anti/files.h 48
src/anti/fmt.h 25
src/anti/jsontree.h 71
src/anti/manifest.h 94
src/anti/repo.h 43
src/anti/sdk.h 15
src/anti/symmap.h 22
src/anti/syms.h 29
src/anti/test.h 22
src/anti/units.h 43
src/anti/zip.h 60
